structureName,dimension,k,n,time
bucketKNN,2,4,1000,49009
bucketKNN,2,8,1000,74006
bucketKNN,2,10,1000,98988
bucketKNN,2,16,1000,123658
bucketKNN,2,2,10000,36739
bucketKNN,2,4,10000,73505
bucketKNN,2,8,10000,110520
bucketKNN,2,10,10000,147713
bucketKNN,2,16,10000,184402
bucketKNN,2,2,100000,50659
bucketKNN,2,4,100000,101371
bucketKNN,2,8,100000,152040
bucketKNN,2,10,100000,202849
bucketKNN,2,16,100000,253582
bucketKNN,3,2,100,2993
bucketKNN,3,4,100,5841
bucketKNN,3,8,100,8721
bucketKNN,3,10,100,11600
bucketKNN,3,16,100,14526
bucketKNN,3,2,1000,32617
bucketKNN,3,4,1000,65201
bucketKNN,3,8,1000,97773
bucketKNN,3,10,1000,129984
bucketKNN,3,16,1000,162337
bucketKNN,3,2,10000,94491
bucketKNN,3,4,10000,188986
bucketKNN,3,8,10000,283193
bucketKNN,3,10,10000,377900
bucketKNN,3,16,10000,473449
bucketKNN,3,2,100000,179499
bucketKNN,3,4,100000,359097
bucketKNN,3,8,100000,538996
bucketKNN,3,10,100000,718530
bucketKNN,3,16,100000,899124
bucketKNN,4,2,100,3422
bucketKNN,4,4,100,6820
bucketKNN,4,8,100,10211
bucketKNN,4,10,100,13594
bucketKNN,4,16,100,17005
bucketKNN,4,2,1000,40432
bucketKNN,4,4,1000,80671
bucketKNN,4,8,1000,121039
bucketKNN,4,10,1000,161355
bucketKNN,4,16,1000,202138
bucketKNN,4,2,10000,264302
bucketKNN,4,4,10000,530413
bucketKNN,4,8,10000,795088
bucketKNN,4,10,10000,1059823
bucketKNN,4,16,10000,1324537
bucketKNN,4,2,100000,682724
bucketKNN,4,4,100000,1362617
bucketKNN,4,8,100000,2040762
bucketKNN,4,10,100000,2718783
bucketKNN,4,16,100000,3395962
bucketKNN,5,2,100,3391
bucketKNN,5,4,100,6940
bucketKNN,5,8,100,10466
bucketKNN,5,10,100,13940
bucketKNN,5,16,100,17692
bucketKNN,5,2,1000,44088
bucketKNN,5,4,1000,87876
bucketKNN,5,8,1000,131145
bucketKNN,5,10,1000,174540
bucketKNN,5,16,1000,217926
bucketKNN,5,2,10000,490773
bucketKNN,5,4,10000,981595
bucketKNN,5,8,10000,1472187
bucketKNN,5,10,10000,1963087
bucketKNN,5,16,10000,2453720
bucketKNN,5,2,100000,1553110
bucketKNN,5,4,100000,3100825
bucketKNN,5,8,100000,4649896
bucketKNN,5,10,100000,6197692
bucketKNN,5,16,100000,7746647
bucketKNN,6,2,100,3376
bucketKNN,6,4,100,6727
bucketKNN,6,8,100,10173
bucketKNN,6,10,100,13447
bucketKNN,6,16,100,16746
bucketKNN,6,2,1000,43537
bucketKNN,6,4,1000,87048
bucketKNN,6,8,1000,131201
bucketKNN,6,10,1000,175350
bucketKNN,6,16,1000,218955
bucketKNN,6,2,10000,443466
bucketKNN,6,4,10000,886153
bucketKNN,6,8,10000,1328722
bucketKNN,6,10,10000,1770948
bucketKNN,6,16,10000,2213211
bucketKNN,6,2,100000,2739126
bucketKNN,6,4,100000,5515831
bucketKNN,6,8,100000,8278941
bucketKNN,6,10,100000,11038090
bucketKNN,6,16,100000,13806518
bucketKNN,7,2,100,3404
bucketKNN,7,4,100,6756
bucketKNN,7,8,100,10066
bucketKNN,7,10,100,13348
bucketKNN,7,16,100,16626
bucketKNN,7,2,1000,43632
bucketKNN,7,4,1000,87494
bucketKNN,7,8,1000,131397
bucketKNN,7,10,1000,175891
bucketKNN,7,16,1000,220707
bucketKNN,7,2,10000,455298
bucketKNN,7,4,10000,910052
bucketKNN,7,8,10000,1362301
bucketKNN,7,10,10000,1807158
bucketKNN,7,16,10000,2261361
bucketKNN,7,2,100000,5603935
