structureName,dimension,k,n,time
bucketKNN,2,4,1000,18135
bucketKNN,2,8,1000,27111
bucketKNN,2,10,1000,36248
bucketKNN,2,16,1000,45529
bucketKNN,2,2,10000,6615
bucketKNN,2,4,10000,13301
bucketKNN,2,8,10000,19994
bucketKNN,2,10,10000,26569
bucketKNN,2,16,10000,33266
bucketKNN,2,2,100000,6679
bucketKNN,2,4,100000,13387
bucketKNN,2,8,100000,20133
bucketKNN,2,10,100000,26866
bucketKNN,2,16,100000,33567
bucketKNN,3,2,100,2592
bucketKNN,3,4,100,5222
bucketKNN,3,8,100,7791
bucketKNN,3,10,100,10381
bucketKNN,3,16,100,12989
bucketKNN,3,2,1000,9473
bucketKNN,3,4,1000,18918
bucketKNN,3,8,1000,28148
bucketKNN,3,10,1000,37784
bucketKNN,3,16,1000,47517
bucketKNN,3,2,10000,10408
bucketKNN,3,4,10000,20953
bucketKNN,3,8,10000,31437
bucketKNN,3,10,10000,41773
bucketKNN,3,16,10000,52062
bucketKNN,3,2,100000,10821
bucketKNN,3,4,100000,21527
bucketKNN,3,8,100000,32363
bucketKNN,3,10,100000,43354
bucketKNN,3,16,100000,54170
bucketKNN,4,2,100,2579
bucketKNN,4,4,100,5183
bucketKNN,4,8,100,7769
bucketKNN,4,10,100,10352
bucketKNN,4,16,100,12902
bucketKNN,4,2,1000,32481
bucketKNN,4,4,1000,65086
bucketKNN,4,8,1000,97680
bucketKNN,4,10,1000,130720
bucketKNN,4,16,1000,164135
bucketKNN,4,2,10000,19999
bucketKNN,4,4,10000,38987
bucketKNN,4,8,10000,58831
bucketKNN,4,10,10000,79138
bucketKNN,4,16,10000,99225
bucketKNN,4,2,100000,17605
bucketKNN,4,4,100000,35228
bucketKNN,4,8,100000,53024
bucketKNN,4,10,100000,70492
bucketKNN,4,16,100000,87920
bucketKNN,5,2,100,2203
bucketKNN,5,4,100,4405
bucketKNN,5,8,100,6591
bucketKNN,5,10,100,8739
bucketKNN,5,16,100,10905
bucketKNN,5,2,1000,29679
bucketKNN,5,4,1000,59336
bucketKNN,5,8,1000,89042
bucketKNN,5,10,1000,118662
bucketKNN,5,16,1000,148465
bucketKNN,5,2,10000,44303
bucketKNN,5,4,10000,88982
bucketKNN,5,8,10000,133585
bucketKNN,5,10,10000,176995
bucketKNN,5,16,10000,220884
bucketKNN,5,2,100000,25907
bucketKNN,5,4,100000,51812
bucketKNN,5,8,100000,77581
bucketKNN,5,10,100000,104255
bucketKNN,5,16,100000,130491
bucketKNN,6,2,100,1831
bucketKNN,6,4,100,3634
bucketKNN,6,8,100,5418
bucketKNN,6,10,100,7221
bucketKNN,6,16,100,9045
bucketKNN,6,2,1000,24089
bucketKNN,6,4,1000,48158
bucketKNN,6,8,1000,71999
bucketKNN,6,10,1000,96310
bucketKNN,6,16,1000,120421
bucketKNN,6,2,10000,26954
bucketKNN,6,4,10000,53813
bucketKNN,6,8,10000,80570
bucketKNN,6,10,10000,107765
bucketKNN,6,16,10000,134820
bucketKNN,6,2,100000,52239
bucketKNN,6,4,100000,104611
bucketKNN,6,8,100000,157561
bucketKNN,6,10,100000,212283
bucketKNN,6,16,100000,267386
bucketKNN,7,2,100,1955
bucketKNN,7,4,100,3953
bucketKNN,7,8,100,5812
bucketKNN,7,10,100,7560
bucketKNN,7,16,100,9681
bucketKNN,7,2,1000,18699
bucketKNN,7,4,1000,37419
bucketKNN,7,8,1000,56019
bucketKNN,7,10,1000,74379
bucketKNN,7,16,1000,92084
bucketKNN,7,2,10000,21177
bucketKNN,7,4,10000,42374
bucketKNN,7,8,10000,63533
bucketKNN,7,10,10000,84703
bucketKNN,7,16,10000,105898
bucketKNN,7,2,100000,199337
bucketKNN,7,4,100000,398525
bucketKNN,7,8,100000,596667
bucketKNN,7,10,100000,794437
bucketKNN,7,16,100000,993759
quadTree,2,2,100,712
quadTree,2,4,100,1462
quadTree,2,8,100,2311
quadTree,2,10,100,3268
quadTree,2,16,100,4395
quadTree,2,2,1000,5680
quadTree,2,4,1000,11432
quadTree,2,8,1000,18402
quadTree,2,10,1000,25403
quadTree,2,16,1000,33194
quadTree,2,2,10000,53400
quadTree,2,4,10000,110920
quadTree,2,8,10000,171961
quadTree,2,10,10000,234520
quadTree,2,16,10000,300529
quadTree,2,2,100000,534838
quadTree,2,4,100000,1079918
quadTree,2,8,100000,1630850
quadTree,2,10,100000,2186994
quadTree,2,16,100000,2753772
kdTree,1,2,100,111
kdTree,1,4,100,520
kdTree,1,8,100,1157
kdTree,1,10,100,1829
kdTree,1,16,100,2536
kdTree,1,2,1000,172
kdTree,1,4,1000,1767
kdTree,1,8,1000,7558
kdTree,1,10,1000,12977
kdTree,1,16,1000,18656
kdTree,1,2,10000,320
kdTree,1,4,10000,4558
kdTree,1,8,10000,55152
kdTree,1,10,10000,117751
kdTree,1,16,10000,188185
kdTree,1,2,100000,446
kdTree,1,4,100000,9405
kdTree,1,8,100000,266647
kdTree,1,10,100000,720692
kdTree,1,16,100000,1346469
kdTree,2,2,100,181
kdTree,2,4,100,508
kdTree,2,8,100,1017
kdTree,2,10,100,1600
kdTree,2,16,100,2539
kdTree,2,2,1000,578
kdTree,2,4,1000,1842
kdTree,2,8,1000,4218
kdTree,2,10,1000,6931
kdTree,2,16,1000,10737
kdTree,2,2,10000,1386
kdTree,2,4,10000,5771
kdTree,2,8,10000,13471
kdTree,2,10,10000,22504
kdTree,2,16,10000,35586
kdTree,2,2,100000,4365
kdTree,2,4,100000,16201
kdTree,2,8,100000,42786
kdTree,2,10,100000,74756
kdTree,2,16,100000,123354
kdTree,3,2,100,255
kdTree,3,4,100,663
kdTree,3,8,100,1274
kdTree,3,10,100,2030
kdTree,3,16,100,3387
kdTree,3,2,1000,820
kdTree,3,4,1000,2382
kdTree,3,8,1000,4972
kdTree,3,10,1000,7539
kdTree,3,16,1000,11003
kdTree,3,2,10000,1894
kdTree,3,4,10000,5481
kdTree,3,8,10000,12076
kdTree,3,10,10000,19340
kdTree,3,16,10000,29717
kdTree,3,2,100000,5283
kdTree,3,4,100000,14522
kdTree,3,8,100000,30147
kdTree,3,10,100000,48558
kdTree,3,16,100000,74797
kdTree,4,2,100,423
kdTree,4,4,100,953
kdTree,4,8,100,3309
kdTree,4,10,100,4134
kdTree,4,16,100,5178
kdTree,4,2,1000,1167
kdTree,4,4,1000,2820
kdTree,4,8,1000,5456
kdTree,4,10,1000,8595
kdTree,4,16,1000,12532
kdTree,4,2,10000,3250
kdTree,4,4,10000,8273
kdTree,4,8,10000,16057
kdTree,4,10,10000,24882
kdTree,4,16,10000,36501
kdTree,4,2,100000,6692
kdTree,4,4,100000,17368
kdTree,4,8,100000,34954
kdTree,4,10,100000,54938
kdTree,4,16,100000,82549
kdTree,5,2,100,504
kdTree,5,4,100,1210
kdTree,5,8,100,2207
kdTree,5,10,100,3181
kdTree,5,16,100,4433
kdTree,5,2,1000,1653
kdTree,5,4,1000,3972
kdTree,5,8,1000,7174
kdTree,5,10,1000,10831
kdTree,5,16,1000,15602
kdTree,5,2,10000,4275
kdTree,5,4,10000,10467
kdTree,5,8,10000,19026
kdTree,5,10,10000,28810
kdTree,5,16,10000,41669
kdTree,5,2,100000,9658
kdTree,5,4,100000,24122
kdTree,5,8,100000,44544
kdTree,5,10,100000,67356
kdTree,5,16,100000,97559
kdTree,6,2,100,600
kdTree,6,4,100,1497
kdTree,6,8,100,2694
kdTree,6,10,100,3868
kdTree,6,16,100,5353
kdTree,6,2,1000,2138
kdTree,6,4,1000,5026
kdTree,6,8,1000,10121
kdTree,6,10,1000,14530
kdTree,6,16,1000,20080
kdTree,6,2,10000,5996
kdTree,6,4,10000,13767
kdTree,6,8,10000,24880
kdTree,6,10,10000,36953
kdTree,6,16,10000,52513
kdTree,6,2,100000,13351
kdTree,6,4,100000,31818
kdTree,6,8,100000,57597
kdTree,6,10,100000,85963
kdTree,6,16,100000,122120
kdTree,7,2,100,676
kdTree,7,4,100,1663
kdTree,7,8,100,2848
kdTree,7,10,100,4089
kdTree,7,16,100,5613
kdTree,7,2,1000,2904
kdTree,7,4,1000,6843
kdTree,7,8,1000,12095
kdTree,7,10,1000,17726
kdTree,7,16,1000,24864
kdTree,7,2,10000,9746
kdTree,7,4,10000,22222
kdTree,7,8,10000,38544
kdTree,7,10,10000,56339
kdTree,7,16,10000,78093
kdTree,7,2,100000,19273
kdTree,7,4,100000,44453
kdTree,7,8,100000,77999
kdTree,7,10,100000,114729
kdTree,7,16,100000,160775
